transaction_id,date,description,amount,type,category,recurring
TXN1859,2026-01-04,Metro Recharge,941.53,Debit,Transport,No
TXN0275,2026-01-05,Dominos,908.29,Debit,Food,No
TXN0486,2026-01-05,Metro Recharge,400.04,Debit,Transport,No
TXN0529,2026-01-05,Miscellaneous,2642.56,Debit,Other,No
TXN0889,2026-01-05,Croma,650.39,Debit,Shopping,No
TXN0890,2026-01-05,Ola,805.06,Debit,Transport,No
TXN0935,2026-01-05,Ola,310.15,Debit,Transport,No
TXN1148,2026-01-05,Ajio,2867.38,Debit,Shopping,No
TXN1200,2026-01-05,Zomato,1330.07,Debit,Food,No
TXN1214,2026-01-05,Water Bill,2472.86,Debit,Utilities,No
TXN0070,2026-01-06,Metro Recharge,672.61,Debit,Transport,No
TXN1040,2026-01-06,Dominos,1729.7,Debit,Food,No
TXN1267,2026-01-06,Coursera,7602.95,Debit,Education,No
TXN1446,2026-01-06,Myntra,4512.75,Debit,Shopping,No
TXN1471,2026-01-06,Flipkart,2849.52,Debit,Shopping,No
TXN1865,2026-01-06,Wallet Transfer,522.19,Debit,Other,No
TXN1979,2026-01-06,Cafe Coffee Day,1449.33,Debit,Food,No
TXN0212,2026-01-07,Ajio,1269.41,Debit,Shopping,No
TXN0633,2026-01-07,Jio,2659.3,Debit,Utilities,No
TXN0758,2026-01-07,Cafe Coffee Day,154.24,Debit,Food,No
TXN0864,2026-01-07,Coding Course,4852.49,Debit,Education,No
TXN0096,2026-01-08,Rapido,189.66,Debit,Transport,No
TXN0583,2026-01-08,BMTC,419.57,Debit,Transport,No
TXN1318,2026-01-08,Zepto,403.13,Debit,Groceries,No
TXN1822,2026-01-08,Apollo Pharmacy,887.92,Debit,Healthcare,No
TXN0202,2026-01-09,Ajio,3861.31,Debit,Shopping,No
TXN0316,2026-01-09,Spotify,1554.36,Debit,Entertainment,No
TXN0415,2026-01-09,Hospital,3104.67,Debit,Healthcare,No
TXN0499,2026-01-09,Myntra,4061.69,Debit,Shopping,No
TXN0565,2026-01-09,DMart,2267.75,Debit,Groceries,No
TXN0591,2026-01-09,Airtel,2353.13,Debit,Utilities,No
TXN1255,2026-01-09,BigBasket,3445.46,Debit,Groceries,No
TXN1502,2026-01-09,Metro Recharge,1162.56,Debit,Transport,No
TXN1059,2026-01-10,Swiggy,1350.25,Debit,Food,No
TXN1086,2026-01-10,Service Payment,2878.89,Debit,Other,No
TXN1198,2026-01-10,Ajio,1908.42,Debit,Shopping,No
TXN1292,2026-01-10,Myntra,6982.12,Debit,Shopping,No
TXN1487,2026-01-10,Blinkit,2787.16,Debit,Groceries,No
TXN1707,2026-01-10,Croma,1854.51,Debit,Shopping,No
TXN1818,2026-01-10,IRCTC,5488.69,Debit,Travel,No
TXN1928,2026-01-10,Ola,1103.38,Debit,Transport,No
TXN0085,2026-01-11,Zepto,504.88,Debit,Groceries,No
TXN0166,2026-01-11,Rapido,1139.59,Debit,Transport,No
TXN0233,2026-01-11,BESCOM,728.32,Debit,Utilities,No
TXN0309,2026-01-11,Zepto,2353.45,Debit,Groceries,No
TXN0872,2026-01-11,YouTube Premium,2263.17,Debit,Entertainment,No
TXN1221,2026-01-11,Hospital,3745.99,Debit,Healthcare,No
TXN1579,2026-01-11,McDonalds,1367.22,Debit,Food,No
TXN1692,2026-01-11,Udemy,3707.15,Debit,Education,No
TXN1950,2026-01-11,Wallet Transfer,127.15,Debit,Other,No
TXN0561,2026-01-12,Ola,1015.0,Debit,Transport,No
TXN1296,2026-01-12,Metro Recharge,707.97,Debit,Transport,No
TXN1577,2026-01-12,Ola,663.17,Debit,Transport,No
TXN1916,2026-01-12,Uber,630.45,Debit,Transport,No
TXN0128,2026-01-13,Coursera,8873.45,Debit,Education,No
TXN1022,2026-01-13,Rapido,890.85,Debit,Transport,No
TXN1280,2026-01-13,Dominos,1129.9,Debit,Food,No
TXN1362,2026-01-13,Flipkart,511.86,Debit,Shopping,No
TXN1557,2026-01-13,DMart,3045.35,Debit,Groceries,No
TXN1598,2026-01-13,Reliance Smart,674.0,Debit,Groceries,No
TXN1965,2026-01-13,Zepto,1371.06,Debit,Groceries,No
TXN0340,2026-01-14,Coding Course,6328.95,Debit,Education,No
TXN1451,2026-01-14,Myntra,6566.72,Debit,Shopping,No
TXN0135,2026-01-15,Croma,2983.62,Debit,Shopping,No
TXN0170,2026-01-15,BMTC,568.14,Debit,Transport,No
TXN0469,2026-01-15,Coding Course,891.35,Debit,Education,No
TXN0811,2026-01-15,PharmEasy,4595.71,Debit,Healthcare,No
TXN0880,2026-01-15,Rapido,1064.85,Debit,Transport,No
TXN0957,2026-01-15,McDonalds,1435.62,Debit,Food,No
TXN1131,2026-01-15,BookMyShow,1767.67,Debit,Entertainment,No
TXN1368,2026-01-15,Blinkit,1392.36,Debit,Groceries,No
TXN1686,2026-01-15,YouTube Premium,937.11,Debit,Entertainment,No
TXN1715,2026-01-15,Uber,247.96,Debit,Transport,No
TXN1762,2026-01-15,Metro Recharge,967.56,Debit,Transport,No
TXN1927,2026-01-15,Metro Recharge,153.31,Debit,Transport,No
TXN0471,2026-01-16,BookMyShow,1621.65,Debit,Entertainment,No
TXN0840,2026-01-16,Cafe Coffee Day,1623.82,Debit,Food,No
TXN1037,2026-01-16,BookMyShow,1077.25,Debit,Entertainment,No
TXN1407,2026-01-16,YouTube Premium,1242.55,Debit,Entertainment,No
TXN0061,2026-01-17,Udemy,2675.96,Debit,Education,No
TXN0087,2026-01-17,BigBasket,1032.61,Debit,Groceries,No
TXN0443,2026-01-17,Dominos,747.55,Debit,Food,No
TXN0609,2026-01-17,Swiggy,1228.66,Debit,Food,No
TXN0615,2026-01-17,Miscellaneous,2708.0,Debit,Other,No
TXN0693,2026-01-17,Zepto,1252.67,Debit,Groceries,No
TXN0826,2026-01-17,Service Payment,1235.64,Debit,Other,No
TXN1001,2026-01-17,Myntra,2030.01,Debit,Shopping,No
TXN1203,2026-01-17,Wallet Transfer,2121.11,Debit,Other,No
TXN1235,2026-01-17,1mg,1139.6,Debit,Healthcare,No
TXN1236,2026-01-17,McDonalds,466.17,Debit,Food,No
TXN1542,2026-01-17,Gift,1074.08,Debit,Other,No
TXN1642,2026-01-17,Netflix,651.61,Debit,Entertainment,No
TXN1677,2026-01-17,Gas Bill,1866.55,Debit,Utilities,No
TXN1679,2026-01-17,Book Store,4866.73,Debit,Education,No
TXN0566,2026-01-18,Swiggy,316.48,Debit,Food,No
TXN0798,2026-01-18,McDonalds,1607.65,Debit,Food,No
TXN0836,2026-01-18,BigBasket,2857.42,Debit,Groceries,No
TXN1207,2026-01-18,Metro Recharge,356.82,Debit,Transport,No
TXN1440,2026-01-18,Rapido,725.51,Debit,Transport,No
TXN1590,2026-01-18,Zomato,488.51,Debit,Food,No
TXN1733,2026-01-18,Apollo Pharmacy,3333.37,Debit,Healthcare,No
TXN0266,2026-01-19,Wallet Transfer,2629.91,Debit,Other,No
TXN0429,2026-01-19,Service Payment,1472.86,Debit,Other,No
TXN0527,2026-01-19,Ola,1125.99,Debit,Transport,No
TXN0902,2026-01-19,McDonalds,817.59,Debit,Food,No
TXN1352,2026-01-19,Service Payment,1144.55,Debit,Other,No
TXN1370,2026-01-19,Wallet Transfer,2756.87,Debit,Other,No
TXN1448,2026-01-19,BMTC,403.91,Debit,Transport,No
TXN0392,2026-01-20,Udemy,5323.05,Debit,Education,No
TXN0920,2026-01-20,Metro Recharge,509.31,Debit,Transport,No
TXN1094,2026-01-20,Airtel,1689.67,Debit,Utilities,No
TXN1115,2026-01-20,Dominos,282.07,Debit,Food,No
TXN1324,2026-01-20,Croma,4953.54,Debit,Shopping,No
TXN1523,2026-01-20,Zomato,1157.39,Debit,Food,No
TXN0106,2026-01-21,Rapido,355.76,Debit,Transport,No
TXN0581,2026-01-21,DMart,2455.75,Debit,Groceries,No
TXN1068,2026-01-21,BookMyShow,2360.1,Debit,Entertainment,No
TXN1071,2026-01-21,Metro Recharge,1067.34,Debit,Transport,No
TXN1084,2026-01-21,Reliance Smart,815.61,Debit,Groceries,No
TXN1597,2026-01-21,Swiggy,1357.21,Debit,Food,No
TXN0124,2026-01-22,Airtel,1574.47,Debit,Utilities,No
TXN0187,2026-01-22,Coding Course,8152.52,Debit,Education,No
TXN0375,2026-01-22,Rapido,700.83,Debit,Transport,No
TXN0438,2026-01-22,DMart,1424.95,Debit,Groceries,No
TXN0613,2026-01-22,BESCOM,2736.98,Debit,Utilities,No
TXN0691,2026-01-22,YouTube Premium,1446.7,Debit,Entertainment,No
TXN1041,2026-01-22,Gas Bill,853.43,Debit,Utilities,No
TXN1268,2026-01-22,Ajio,905.96,Debit,Shopping,No
TXN1322,2026-01-22,Hotel Booking,5155.97,Debit,Travel,No
TXN1325,2026-01-22,Metro Recharge,591.73,Debit,Transport,No
TXN1503,2026-01-22,BigBasket,1380.7,Debit,Groceries,No
TXN1719,2026-01-22,Flipkart,5332.2,Debit,Shopping,No
TXN1771,2026-01-22,Miscellaneous,483.49,Debit,Other,No
TXN1995,2026-01-22,Ola,197.43,Debit,Transport,No
TXN0567,2026-01-23,Uber,354.1,Debit,Transport,No
TXN1083,2026-01-23,Ajio,668.35,Debit,Shopping,No
TXN1234,2026-01-23,Reliance Smart,2408.45,Debit,Groceries,No
TXN1289,2026-01-23,Amazon,3324.55,Debit,Shopping,No
TXN1530,2026-01-23,Ola,830.56,Debit,Transport,No
TXN1793,2026-01-23,BESCOM,1323.57,Debit,Utilities,No
TXN0494,2026-01-24,Water Bill,1750.19,Debit,Utilities,No
TXN0590,2026-01-24,Miscellaneous,1007.47,Debit,Other,No
TXN0614,2026-01-24,Cafe Coffee Day,934.58,Debit,Food,No
TXN0763,2026-01-24,Uber,280.87,Debit,Transport,No
TXN0978,2026-01-24,Jio,2255.24,Debit,Utilities,No
TXN0982,2026-01-24,Amazon,6178.62,Debit,Shopping,No
TXN1034,2026-01-24,Gas Bill,658.09,Debit,Utilities,No
TXN1507,2026-01-24,Ajio,7303.84,Debit,Shopping,No
TXN1769,2026-01-24,BMTC,1196.35,Debit,Transport,No
TXN1849,2026-01-24,Dominos,1445.06,Debit,Food,No
TXN1907,2026-01-24,Metro Recharge,459.68,Debit,Transport,No
TXN0413,2026-01-25,Spotify,892.65,Debit,Entertainment,No
TXN0430,2026-01-25,Spotify,858.06,Debit,Entertainment,No
TXN0573,2026-01-25,Ajio,4668.88,Debit,Shopping,No
TXN0598,2026-01-25,Uber,1138.61,Debit,Transport,No
TXN0712,2026-01-25,Water Bill,2470.76,Debit,Utilities,No
TXN0832,2026-01-25,Swiggy,1338.68,Debit,Food,No
TXN0932,2026-01-25,PVR,311.75,Debit,Entertainment,No
TXN0985,2026-01-25,UPI Transfer,1638.06,Debit,Other,No
TXN1159,2026-01-25,YouTube Premium,777.24,Debit,Entertainment,No
TXN1809,2026-01-25,Coding Course,4563.45,Debit,Education,No
TXN0282,2026-01-26,Cafe Coffee Day,1577.36,Debit,Food,No
TXN0347,2026-01-26,MakeMyTrip,2310.21,Debit,Travel,No
TXN0844,2026-01-26,Myntra,2281.61,Debit,Shopping,No
TXN0871,2026-01-26,Blinkit,2509.64,Debit,Groceries,No
TXN0946,2026-01-26,BMTC,375.82,Debit,Transport,No
TXN0966,2026-01-26,Dominos,1750.74,Debit,Food,No
TXN1273,2026-01-26,BigBasket,1822.73,Debit,Groceries,No
TXN1327,2026-01-26,UPI Transfer,1717.33,Debit,Other,No
TXN1398,2026-01-26,BigBasket,1806.35,Debit,Groceries,No
TXN1508,2026-01-26,Zomato,173.7,Debit,Food,No
TXN0177,2026-01-27,Swiggy,926.01,Debit,Food,No
TXN0335,2026-01-27,Metro Recharge,1052.26,Debit,Transport,No
TXN0502,2026-01-27,Service Payment,1775.14,Debit,Other,No
TXN1112,2026-01-27,PVR,1612.26,Debit,Entertainment,No
TXN1211,2026-01-27,Dominos,477.89,Debit,Food,No
TXN1340,2026-01-27,Zepto,872.37,Debit,Groceries,No
TXN1450,2026-01-27,DMart,2150.05,Debit,Groceries,No
TXN0963,2026-01-28,Reliance Smart,3154.6,Debit,Groceries,No
TXN1005,2026-01-28,BMTC,1161.73,Debit,Transport,No
TXN1045,2026-01-28,Zomato,1257.11,Debit,Food,No
TXN1426,2026-01-28,College Fees,1092.9,Debit,Education,No
TXN1625,2026-01-28,MakeMyTrip,4609.93,Debit,Travel,No
TXN1911,2026-01-28,Cafe Coffee Day,1044.03,Debit,Food,No
TXN1990,2026-01-28,Reliance Smart,2921.39,Debit,Groceries,No
TXN0270,2026-01-29,UPI Transfer,1040.69,Debit,Other,No
TXN0352,2026-01-29,DMart,3450.23,Debit,Groceries,No
TXN0371,2026-01-29,BMTC,971.89,Debit,Transport,No
TXN0462,2026-01-29,Spotify,1195.02,Debit,Entertainment,No
TXN0568,2026-01-29,Ola,684.53,Debit,Transport,No
TXN0748,2026-01-29,UPI Transfer,1414.78,Debit,Other,No
TXN0808,2026-01-29,Zepto,1152.89,Debit,Groceries,No
TXN0878,2026-01-29,PVR,2194.53,Debit,Entertainment,No
TXN1373,2026-01-29,BookMyShow,2333.92,Debit,Entertainment,No
TXN1720,2026-01-29,Wallet Transfer,2368.48,Debit,Other,No
TXN1729,2026-01-29,BMTC,1046.45,Debit,Transport,No
TXN0101,2026-01-30,Blinkit,996.64,Debit,Groceries,No
TXN0577,2026-01-30,Zomato,1479.53,Debit,Food,No
TXN0899,2026-01-30,Cafe Coffee Day,1413.03,Debit,Food,No
TXN0916,2026-01-30,Zomato,667.13,Debit,Food,No
TXN0333,2026-01-31,YouTube Premium,2067.07,Debit,Entertainment,No
TXN0524,2026-01-31,YouTube Premium,938.69,Debit,Entertainment,No
TXN0555,2026-01-31,Swiggy,1042.92,Debit,Food,No
TXN0597,2026-01-31,Cafe Coffee Day,1784.03,Debit,Food,No
TXN0740,2026-01-31,Zepto,427.45,Debit,Groceries,No
TXN0007,2026-02-01,Salary,60000.0,Credit,Income,No
TXN0377,2026-02-01,Gas Bill,877.15,Debit,Utilities,No
TXN0777,2026-02-01,DMart,539.46,Debit,Groceries,No
TXN0855,2026-02-01,Service Payment,759.79,Debit,Other,No
TXN1000,2026-02-01,Miscellaneous,524.64,Debit,Other,No
TXN1973,2026-02-01,Croma,1436.2,Debit,Shopping,No
TXN0009,2026-02-02,EMI,10000.0,Debit,EMI,Yes
TXN0010,2026-02-02,SIP Investment,5000.0,Debit,Investment,Yes
TXN0012,2026-02-02,Internet Bill,999.0,Debit,Utilities,Yes
TXN0959,2026-02-02,DMart,1710.2,Debit,Groceries,No
TXN1114,2026-02-02,Rapido,567.62,Debit,Transport,No
TXN1230,2026-02-02,Spotify,937.6,Debit,Entertainment,No
TXN1570,2026-02-02,Metro Recharge,390.4,Debit,Transport,No
TXN1712,2026-02-02,Book Store,3527.21,Debit,Education,No
TXN0008,2026-02-03,House Rent,18000.0,Debit,Housing,Yes
TXN0452,2026-02-03,Miscellaneous,2036.74,Debit,Other,No
TXN1026,2026-02-03,Service Payment,1646.3,Debit,Other,No
TXN1354,2026-02-03,Hospital,4263.56,Debit,Healthcare,No
TXN1573,2026-02-03,BMTC,975.89,Debit,Transport,No
TXN1691,2026-02-03,Dominos,1127.68,Debit,Food,No
TXN1974,2026-02-03,Wallet Transfer,1008.51,Debit,Other,No
TXN1976,2026-02-03,Reliance Smart,2303.79,Debit,Groceries,No
TXN0370,2026-02-04,College Fees,1934.1,Debit,Education,No
TXN0422,2026-02-04,Swiggy,739.2,Debit,Food,No
TXN0442,2026-02-04,Book Store,830.59,Debit,Education,No
TXN0739,2026-02-04,Netflix,238.39,Debit,Entertainment,No
TXN0831,2026-02-04,BMTC,314.85,Debit,Transport,No
TXN0862,2026-02-04,PharmEasy,1802.82,Debit,Healthcare,No
TXN1566,2026-02-04,Myntra,3248.25,Debit,Shopping,No
TXN1620,2026-02-04,Blinkit,1877.76,Debit,Groceries,No
TXN1649,2026-02-04,PVR,756.19,Debit,Entertainment,No
TXN1982,2026-02-04,BESCOM,756.72,Debit,Utilities,No
TXN0011,2026-02-05,Netflix,649.0,Debit,Entertainment,Yes
TXN0178,2026-02-05,Miscellaneous,750.24,Debit,Other,No
TXN0188,2026-02-05,McDonalds,1241.51,Debit,Food,No
TXN1049,2026-02-05,Zepto,620.14,Debit,Groceries,No
TXN1491,2026-02-05,Metro Recharge,1025.34,Debit,Transport,No
TXN1661,2026-02-05,McDonalds,461.5,Debit,Food,No
TXN0736,2026-02-06,Uber,350.01,Debit,Transport,No
TXN0911,2026-02-06,Rapido,729.95,Debit,Transport,No
TXN1168,2026-02-06,Rapido,720.23,Debit,Transport,No
TXN1238,2026-02-06,Zepto,2239.05,Debit,Groceries,No
TXN1277,2026-02-06,Gas Bill,1115.61,Debit,Utilities,No
TXN1433,2026-02-06,Zomato,371.56,Debit,Food,No
TXN0151,2026-02-07,Zepto,3448.6,Debit,Groceries,No
TXN0215,2026-02-07,BigBasket,1582.26,Debit,Groceries,No
TXN0459,2026-02-07,Metro Recharge,1002.14,Debit,Transport,No
TXN0473,2026-02-07,Metro Recharge,413.13,Debit,Transport,No
TXN0819,2026-02-07,PVR,2179.54,Debit,Entertainment,No
TXN1014,2026-02-07,Rapido,696.18,Debit,Transport,No
TXN1030,2026-02-07,Blinkit,421.24,Debit,Groceries,No
TXN1046,2026-02-07,Coding Course,4882.02,Debit,Education,No
TXN1127,2026-02-07,Reliance Smart,640.69,Debit,Groceries,No
TXN1480,2026-02-07,YouTube Premium,791.87,Debit,Entertainment,No
TXN1486,2026-02-07,Miscellaneous,399.53,Debit,Other,No
TXN1538,2026-02-07,Book Store,8967.97,Debit,Education,No
TXN1999,2026-02-07,Apollo Pharmacy,2005.24,Debit,Healthcare,No
TXN0095,2026-02-08,BMTC,598.14,Debit,Transport,No
TXN0222,2026-02-08,Flipkart,2298.99,Debit,Shopping,No
TXN0367,2026-02-08,Zomato,1143.96,Debit,Food,No
TXN0621,2026-02-08,DMart,1042.86,Debit,Groceries,No
TXN0792,2026-02-08,Jio,2793.57,Debit,Utilities,No
TXN0944,2026-02-08,BigBasket,2794.48,Debit,Groceries,No
TXN1699,2026-02-08,McDonalds,482.9,Debit,Food,No
TXN0373,2026-02-09,Blinkit,2961.43,Debit,Groceries,No
TXN0546,2026-02-09,Rapido,868.22,Debit,Transport,No
TXN0754,2026-02-09,Swiggy,583.87,Debit,Food,No
TXN1074,2026-02-09,McDonalds,752.74,Debit,Food,No
TXN1242,2026-02-09,Uber,1014.59,Debit,Transport,No
TXN1452,2026-02-09,Swiggy,359.26,Debit,Food,No
TXN1575,2026-02-09,Miscellaneous,2878.94,Debit,Other,No
TXN1627,2026-02-09,Blinkit,1994.76,Debit,Groceries,No
TXN1674,2026-02-09,Reliance Smart,2294.34,Debit,Groceries,No
TXN1946,2026-02-09,PVR,386.64,Debit,Entertainment,No
TXN0079,2026-02-10,Zomato,1598.72,Debit,Food,No
TXN0362,2026-02-10,Cafe Coffee Day,810.74,Debit,Food,No
TXN0516,2026-02-10,Dominos,1726.27,Debit,Food,No
TXN0579,2026-02-10,BMTC,307.74,Debit,Transport,No
TXN0857,2026-02-10,Airtel,1690.66,Debit,Utilities,No
TXN1239,2026-02-10,Zepto,2398.4,Debit,Groceries,No
TXN1442,2026-02-10,DMart,3377.56,Debit,Groceries,No
TXN0162,2026-02-11,Dominos,677.52,Debit,Food,No
TXN0323,2026-02-11,Ajio,1051.18,Debit,Shopping,No
TXN0545,2026-02-11,Spotify,1952.28,Debit,Entertainment,No
TXN0848,2026-02-11,Zepto,2342.21,Debit,Groceries,No
TXN0434,2026-02-12,Cafe Coffee Day,590.09,Debit,Food,No
TXN0611,2026-02-12,BigBasket,2549.1,Debit,Groceries,No
TXN0742,2026-02-12,BookMyShow,1814.16,Debit,Entertainment,No
TXN1176,2026-02-12,BESCOM,2427.33,Debit,Utilities,No
TXN1601,2026-02-12,YouTube Premium,650.15,Debit,Entertainment,No
TXN1806,2026-02-12,Service Payment,1925.72,Debit,Other,No
TXN0200,2026-02-13,Gas Bill,2870.16,Debit,Utilities,No
TXN0346,2026-02-13,Dominos,1431.78,Debit,Food,No
TXN0378,2026-02-13,BMTC,1180.27,Debit,Transport,No
TXN0386,2026-02-13,Wallet Transfer,473.96,Debit,Other,No
TXN0418,2026-02-13,Airtel,2160.93,Debit,Utilities,No
TXN0655,2026-02-13,Croma,4953.65,Debit,Shopping,No
TXN0731,2026-02-13,Zomato,558.85,Debit,Food,No
TXN0791,2026-02-13,DMart,1491.17,Debit,Groceries,No
TXN1042,2026-02-13,Reliance Smart,1561.06,Debit,Groceries,No
TXN1283,2026-02-13,Dominos,407.39,Debit,Food,No
TXN1336,2026-02-13,DMart,2329.03,Debit,Groceries,No
TXN1866,2026-02-13,Croma,7577.32,Debit,Shopping,No
TXN1910,2026-02-13,BESCOM,2109.79,Debit,Utilities,No
TXN0457,2026-02-14,Rapido,225.34,Debit,Transport,No
TXN0630,2026-02-14,BMTC,194.5,Debit,Transport,No
TXN0694,2026-02-14,BMTC,1045.66,Debit,Transport,No
TXN0747,2026-02-14,Flipkart,934.29,Debit,Shopping,No
TXN0800,2026-02-14,Rapido,616.51,Debit,Transport,No
TXN1357,2026-02-14,Amazon,4785.25,Debit,Shopping,No
TXN1389,2026-02-14,BigBasket,2498.57,Debit,Groceries,No
TXN1546,2026-02-14,Gas Bill,2637.51,Debit,Utilities,No
TXN1602,2026-02-14,Water Bill,2192.66,Debit,Utilities,No
TXN0240,2026-02-15,Clinic,472.48,Debit,Healthcare,No
TXN0876,2026-02-15,McDonalds,1148.22,Debit,Food,No
TXN0918,2026-02-15,Airtel,1723.94,Debit,Utilities,No
TXN1216,2026-02-15,Flipkart,3285.49,Debit,Shopping,No
TXN1278,2026-02-15,McDonalds,683.63,Debit,Food,No
TXN1444,2026-02-15,Uber,666.16,Debit,Transport,No
TXN1524,2026-02-15,Water Bill,2030.12,Debit,Utilities,No
TXN1612,2026-02-15,Reliance Smart,2719.56,Debit,Groceries,No
TXN1908,2026-02-15,Wallet Transfer,2234.15,Debit,Other,No
TXN1938,2026-02-15,PVR,360.85,Debit,Entertainment,No
TXN0067,2026-02-16,Zomato,990.72,Debit,Food,No
TXN0287,2026-02-16,Blinkit,2643.55,Debit,Groceries,No
TXN0483,2026-02-16,BMTC,637.05,Debit,Transport,No
TXN0814,2026-02-16,Airtel,1726.09,Debit,Utilities,No
TXN0886,2026-02-16,Dominos,1385.79,Debit,Food,No
TXN0971,2026-02-16,Reliance Smart,300.54,Debit,Groceries,No
TXN1271,2026-02-16,Service Payment,1768.24,Debit,Other,No
TXN1334,2026-02-16,Ola,1068.45,Debit,Transport,No
TXN1494,2026-02-16,Dominos,811.01,Debit,Food,No
TXN1722,2026-02-16,Book Store,9019.35,Debit,Education,No
TXN0247,2026-02-17,Swiggy,1061.21,Debit,Food,No
TXN0466,2026-02-17,Blinkit,2266.17,Debit,Groceries,No
TXN0632,2026-02-17,BigBasket,1432.53,Debit,Groceries,No
TXN0705,2026-02-17,Swiggy,1195.49,Debit,Food,No
TXN0839,2026-02-17,PVR,2366.22,Debit,Entertainment,No
TXN0951,2026-02-17,Miscellaneous,2647.58,Debit,Other,No
TXN1474,2026-02-17,Swiggy,189.11,Debit,Food,No
TXN1599,2026-02-17,Ola,579.49,Debit,Transport,No
TXN1784,2026-02-17,Zepto,695.69,Debit,Groceries,No
TXN1875,2026-02-17,Rapido,398.0,Debit,Transport,No
TXN0700,2026-02-18,Dominos,1721.46,Debit,Food,No
TXN0961,2026-02-18,Miscellaneous,1605.39,Debit,Other,No
TXN1263,2026-02-18,Rapido,997.86,Debit,Transport,No
TXN1526,2026-02-18,Airtel,793.77,Debit,Utilities,No
TXN1702,2026-02-18,Amazon,5882.8,Debit,Shopping,No
TXN1767,2026-02-18,Croma,2421.69,Debit,Shopping,No
TXN1972,2026-02-18,Service Payment,1896.74,Debit,Other,No
TXN0332,2026-02-19,BigBasket,598.34,Debit,Groceries,No
TXN0847,2026-02-19,Clinic,2557.54,Debit,Healthcare,No
TXN0853,2026-02-19,Clinic,589.71,Debit,Healthcare,No
TXN0906,2026-02-19,Coding Course,2220.79,Debit,Education,No
TXN1417,2026-02-19,Reliance Smart,1781.31,Debit,Groceries,No
TXN0092,2026-02-20,Uber,834.17,Debit,Transport,No
TXN0220,2026-02-20,Cafe Coffee Day,249.38,Debit,Food,No
TXN0268,2026-02-20,UPI Transfer,1358.52,Debit,Other,No
TXN0303,2026-02-20,Airtel,2713.53,Debit,Utilities,No
TXN1099,2026-02-20,BookMyShow,1006.19,Debit,Entertainment,No
TXN1472,2026-02-20,Amazon,589.71,Debit,Shopping,No
TXN1918,2026-02-20,Uber,208.4,Debit,Transport,No
TXN1922,2026-02-20,Swiggy,641.74,Debit,Food,No
TXN0110,2026-02-21,Uber,90.43,Debit,Transport,No
TXN0866,2026-02-21,Zepto,774.24,Debit,Groceries,No
TXN1149,2026-02-21,Zepto,1514.17,Debit,Groceries,No
TXN1517,2026-02-21,Cafe Coffee Day,217.15,Debit,Food,No
TXN1696,2026-02-21,Swiggy,1483.74,Debit,Food,No
TXN1742,2026-02-21,Miscellaneous,2180.42,Debit,Other,No
TXN1843,2026-02-21,Zepto,2238.4,Debit,Groceries,No
